Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100n","C_0603_1608Metric",188.870000,-120.122500,90.000000,top
"C4","20p","C_0603_1608Metric",190.880000,-124.707500,270.000000,top
"C5","20p","C_0603_1608Metric",198.710000,-124.707500,270.000000,top
"C6","100n","C_0603_1608Metric",191.270000,-119.717500,90.000000,top
"C7","100n","C_0603_1608Metric",201.587500,-109.470000,180.000000,top
"C8","100n","C_0603_1608Metric",191.380000,-107.460000,180.000000,top
"C9","100n","C_0603_1608Metric",188.982500,-117.470000,0.000000,top
"C10","1u","C_0603_1608Metric",196.727500,-119.670000,0.000000,top
"C11","100n","C_0603_1608Metric",196.727500,-121.180000,0.000000,top
"C12","10u","C_0603_1608Metric",187.640000,-103.637500,270.000000,top
"CVR1","1uF","C_0603_1608Metric",189.280000,-97.117500,90.000000,top
"CVR2","1uF","C_0603_1608Metric",190.492500,-103.140000,180.000000,top
"D1","D_Small","D_SOD-123",188.722500,-130.175000,270.000000,top
"D2","D_Small","D_SOD-123",191.103750,-130.175000,270.000000,top
"D3","D_Small","D_SOD-123",193.485000,-130.175000,270.000000,top
"D4","D_Small","D_SOD-123",195.866250,-130.175000,270.000000,top
"D5","D_Small","D_SOD-123",198.247500,-130.175000,270.000000,top
"D6","D_Small","D_SOD-123",200.628750,-130.175000,270.000000,top
"D7","D_Small","D_SOD-123",203.010000,-130.175000,270.000000,top
"D8","D_Small","D_SOD-123",188.722500,-138.112500,270.000000,top
"D9","D_Small","D_SOD-123",191.103750,-138.112500,270.000000,top
"D10","D_Small","D_SOD-123",193.485000,-138.112500,270.000000,top
"D11","D_Small","D_SOD-123",195.866250,-138.112500,270.000000,top
"D12","D_Small","D_SOD-123",198.247500,-138.112500,270.000000,top
"D13","D_Small","D_SOD-123",200.628750,-138.112500,270.000000,top
"D14","D_Small","D_SOD-123",203.010000,-138.112500,270.000000,top
"D15","D_Small","D_SOD-123",188.722500,-146.050000,270.000000,top
"D16","D_Small","D_SOD-123",191.103750,-146.050000,270.000000,top
"D17","D_Small","D_SOD-123",193.485000,-146.050000,270.000000,top
"D18","D_Small","D_SOD-123",195.866250,-146.050000,270.000000,top
"D19","D_Small","D_SOD-123",198.247500,-146.050000,270.000000,top
"D20","D_Small","D_SOD-123",200.628750,-146.050000,270.000000,top
"D21","D_Small","D_SOD-123",203.010000,-146.050000,270.000000,top
"D22","D_Small","D_SOD-123",188.722500,-153.987500,270.000000,top
"D23","D_Small","D_SOD-123",191.103750,-153.987500,270.000000,top
"D24","D_Small","D_SOD-123",193.485000,-153.987500,270.000000,top
"D25","D_Small","D_SOD-123",195.866250,-153.987500,270.000000,top
"D26","D_Small","D_SOD-123",198.247500,-153.987500,270.000000,top
"D27","D_Small","D_SOD-123",200.628750,-153.987500,270.000000,top
"D28","D_Small","D_SOD-123",203.010000,-153.987500,270.000000,top
"D29","D_Small","D_SOD-123",188.722500,-161.925000,270.000000,top
"D30","D_Small","D_SOD-123",191.103750,-161.925000,270.000000,top
"D31","D_Small","D_SOD-123",193.485000,-161.925000,270.000000,top
"F1","Fuse_Small","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",187.280000,-96.137500,90.000000,top
"R1","5.1k","R_0603_1608Metric",194.680000,-90.510000,180.000000,top
"R2","5.1k","R_0603_1608Metric",187.922500,-90.510000,0.000000,top
"R3","1.5k","R_0603_1608Metric",191.382500,-105.940000,0.000000,top
"R4","10k","R_0603_1608Metric",188.572500,-114.260000,180.000000,top
"U1","SRV05-4","SOT-23-6",191.290000,-91.680000,90.000000,top
"U2","STM32F103CBTx","LQFP-48_7x7mm_P0.5mm",195.278750,-113.506250,90.000000,top
"U3","XC6206PxxxMR","SOT-23",190.540000,-100.420000,90.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",191.293750,-77.787500,180.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",194.800000,-123.920000,180.000000,top
