Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C3;100n;C_0603_1608Metric;109.390000;-92.172500;270.000000;top
C4;20p;C_0603_1608Metric;98.570000;-96.530000;270.000000;top
C5;20p;C_0603_1608Metric;106.400000;-96.517500;270.000000;top
C6;100n;C_0603_1608Metric;96.682500;-89.520000;0.000000;top
C7;100n;C_0603_1608Metric;108.957500;-81.600000;180.000000;top
C8;100n;C_0603_1608Metric;97.377500;-79.540000;180.000000;top
C9;100n;C_0603_1608Metric;99.000000;-91.807500;90.000000;top
C10;1u;C_0603_1608Metric;104.650000;-91.497500;0.000000;top
C11;100n;C_0603_1608Metric;104.657500;-93.030000;0.000000;top
C12;10u;C_0603_1608Metric;107.250000;-76.760000;180.000000;top
CVR1;1uF;C_0603_1608Metric;107.200000;-69.167500;90.000000;top
CVR2;1uF;C_0603_1608Metric;107.247500;-75.190000;0.000000;top
D1;D_Small;D_SOD-123;110.415000;-102.225000;270.000000;top
D2;D_Small;D_SOD-123;108.033750;-102.225000;270.000000;top
D3;D_Small;D_SOD-123;105.652500;-102.225000;270.000000;top
D4;D_Small;D_SOD-123;103.271250;-102.225000;270.000000;top
D5;D_Small;D_SOD-123;100.890000;-102.225000;270.000000;top
D6;D_Small;D_SOD-123;98.508750;-102.225000;270.000000;top
D7;D_Small;D_SOD-123;96.127500;-102.225000;270.000000;top
D8;D_Small;D_SOD-123;110.415000;-110.162500;270.000000;top
D9;D_Small;D_SOD-123;108.033750;-110.162500;270.000000;top
D10;D_Small;D_SOD-123;105.652500;-110.162500;270.000000;top
D11;D_Small;D_SOD-123;103.271250;-110.162500;270.000000;top
D12;D_Small;D_SOD-123;100.890000;-110.162500;270.000000;top
D13;D_Small;D_SOD-123;98.508750;-110.162500;270.000000;top
D14;D_Small;D_SOD-123;96.127500;-110.162500;270.000000;top
D15;D_Small;D_SOD-123;110.415000;-118.100000;270.000000;top
D16;D_Small;D_SOD-123;108.033750;-118.100000;270.000000;top
D17;D_Small;D_SOD-123;105.652500;-118.100000;270.000000;top
D18;D_Small;D_SOD-123;103.271250;-118.100000;270.000000;top
D19;D_Small;D_SOD-123;100.890000;-118.100000;270.000000;top
D20;D_Small;D_SOD-123;98.508750;-118.100000;270.000000;top
D21;D_Small;D_SOD-123;96.127500;-118.100000;270.000000;top
D22;D_Small;D_SOD-123;110.415000;-126.037500;270.000000;top
D23;D_Small;D_SOD-123;108.033750;-126.037500;270.000000;top
D24;D_Small;D_SOD-123;105.652500;-126.037500;270.000000;top
D25;D_Small;D_SOD-123;103.271250;-126.037500;270.000000;top
D26;D_Small;D_SOD-123;100.890000;-126.037500;270.000000;top
D27;D_Small;D_SOD-123;98.508750;-126.037500;270.000000;top
D28;D_Small;D_SOD-123;96.127500;-126.037500;270.000000;top
D29;D_Small;D_SOD-123;110.415000;-133.975000;270.000000;top
D30;D_Small;D_SOD-123;108.033750;-133.975000;270.000000;top
D31;D_Small;D_SOD-123;105.652500;-133.975000;270.000000;top
F1;Fuse_Small;Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder;110.460000;-68.187500;90.000000;top
R1;5.1k;R_0603_1608Metric;109.790000;-62.557500;180.000000;top
R2;5.1k;R_0603_1608Metric;103.102500;-62.550000;0.000000;top
R3;1.5k;R_0603_1608Metric;99.972500;-75.990000;0.000000;top
R4;10k;R_0603_1608Metric;96.282500;-86.310000;180.000000;top
U1;SRV05-4;SOT-23-6;106.450000;-63.730000;90.000000;top
U2;STM32F103CBTx;LQFP-48_7x7mm_P0.5mm;102.981250;-85.556250;90.000000;top
U3;XC6206PxxxMR;SOT-23;107.200000;-72.470000;90.000000;top
USB1;HRO-TYPE-C-31-M-12;HRO-TYPE-C-31-M-12-HandSoldering;106.446250;-49.837500;180.000000;top
Y1;8MHz;Crystal_SMD_5032-2Pin_5.0x3.2mm;102.490000;-95.740000;180.000000;top
